study_id,Study Class,Treatment Focus (Study level),Total N Randomized,Intervention Group,Treatment Focus (Arm level),Treatment Focus Subclass (Arm level),N Completed Outcome Measurement,N Completed Outcome Measurement Detail,Publication Treatment Name,NCPTSD Treatment Name,Psychotherapy,Psychotherapy Subclass,Pharmacotherapy,Pharmacotherapy Subclass,CIH,CIH Subclass,Nonpharm Biologic,Nonpharm Cognitive Therapy,Control,Other,Collaborative Care,Format,Delivery Method,Arm N Randomized,Outcome Assessment Type,PTSD Outcome Measure,PTSD Outcome Measure Detail,Analysis Type,Method for Handling Missing Data,Statistical Analysis Method,Assessment Point Category,Follow-up Assessment in Weeks,Measure Score Detail,Measure Score Mean,Measure Score Standard Deviation,Measure Score Type of Variance Measure,Measure Score Variance Value or Lower Bound,Measure Score Variance Upper Bound,Score Difference from Baseline Detail,Score Difference from Baseline,Score Difference from Baseline Standard Deviation,Score Difference from Baseline 95% CI Lower Bound,Score Difference from Baseline 95% CI Upper Bound,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1 Value,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2 Value,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,Diagnostic Change Definition 1,Percent Achieved Diagnostic Change Definition 1,Additional Defs of Diagnostic Change,Clinically Meaningful Response Definition 1,Percent Achieved Clinically Meaningful Response Definition 1,Additional Defs of Clinically Meaningful Response,Military Status (Study level),Active Duty Military Percent (Study level),Veteran Percent (Study level),Community Percent (Study level),Female Percent (Study level),Female Percent Detail  (Study level),Male Percent (Study level),Trauma Type (Study level),Trauma Detail (Study level),Risk of Bias Rating (Study level),Citation,PTSDPubs ID,Year Added to PTSD-Repository
davis2008a_CAPS_B_Baseline_ITT,Pharmacotherapy,PTSD,36,B,Control,,17,,Placebo,Placebo,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,Individual,In Person,18,Structured Clinical Interview,CAPS,CAPS,ITT,LOCF,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests",Baseline,,,88.41,17.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0571,,0.9429,Combat-related,,Medium,"Davis LL, Ward C, Rasmusson A, et al. A placebo-controlled trial of guanfacine for the treatment of posttraumatic stress disorder in veterans. Psychopharmacol Bull. 2008;41(1):8-18.  PMID: 18362867.",34102,2019
davis2008a_DTS_A_0_NA,Pharmacotherapy,PTSD,36,A,PTSD,,,,Guanfacine,Guanfacine,No,Not Applicable,Yes,Antiadrenergic,No,Not Applicable,No,No,No,No,No,Individual,In Person,18,Self report,DTS,DTS,,,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests",End of Treatment,0,,75.11,32.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0571,,0.9429,Combat-related,,Medium,"Davis LL, Ward C, Rasmusson A, et al. A placebo-controlled trial of guanfacine for the treatment of posttraumatic stress disorder in veterans. Psychopharmacol Bull. 2008;41(1):8-18.  PMID: 18362867.",34102,2019
davis2008a_DTS_A_Baseline_NA,Pharmacotherapy,PTSD,36,A,PTSD,,,,Guanfacine,Guanfacine,No,Not Applicable,Yes,Antiadrenergic,No,Not Applicable,No,No,No,No,No,Individual,In Person,18,Self report,DTS,DTS,,,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests",Baseline,,,92.33,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0571,,0.9429,Combat-related,,Medium,"Davis LL, Ward C, Rasmusson A, et al. A placebo-controlled trial of guanfacine for the treatment of posttraumatic stress disorder in veterans. Psychopharmacol Bull. 2008;41(1):8-18.  PMID: 18362867.",34102,2019
davis2008a_DTS_B_0_NA,Pharmacotherapy,PTSD,36,B,Control,,,,Placebo,Placebo,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,Individual,In Person,18,Self report,DTS,DTS,,,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests",End of Treatment,0,,82.59,31.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0571,,0.9429,Combat-related,,Medium,"Davis LL, Ward C, Rasmusson A, et al. A placebo-controlled trial of guanfacine for the treatment of posttraumatic stress disorder in veterans. Psychopharmacol Bull. 2008;41(1):8-18.  PMID: 18362867.",34102,2019
davis2008a_DTS_B_Baseline_NA,Pharmacotherapy,PTSD,36,B,Control,,,,Placebo,Placebo,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,Individual,In Person,18,Self report,DTS,DTS,,,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests",Baseline,,,100.77,24.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0571,,0.9429,Combat-related,,Medium,"Davis LL, Ward C, Rasmusson A, et al. A placebo-controlled trial of guanfacine for the treatment of posttraumatic stress disorder in veterans. Psychopharmacol Bull. 2008;41(1):8-18.  PMID: 18362867.",34102,2019
davis2008b_CAPS_A_0_Comp,Pharmacotherapy,PTSD,85,A,PTSD,,34,,Divalproex,Divalproex,No,Not Applicable,Yes,Mood Stabilizer,No,Not Applicable,No,No,No,No,No,Individual,In Person,44,Structured Clinical Interview,CAPS,CAPS,Completer,,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests",End of Treatment,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30% PTSD scores,,Additional definitions of Clinically Meaningful Response reported in the study,Veteran,0,1,0,0.0244,,0.9756,Mixed,"combat-related, other (non-specified)",Low,"Davis LL, Davidson JR, Ward LC, et al. Divalproex in the treatment of posttraumatic stress disorder: a randomized, double-blind, placebo-controlled trial in a veteran population. J Clin Psychopharmacol. 2008 Feb;28(1):84-8. doi: 10.1097/JCP.0b013e318160f83b. PMID: 18204347",30463,2019
davis2008b_CAPS_A_0_ITT,Pharmacotherapy,PTSD,85,A,PTSD,,41,,Divalproex,Divalproex,No,Not Applicable,Yes,Mood Stabilizer,No,Not Applicable,No,No,No,No,No,Individual,In Person,44,Structured Clinical Interview,CAPS,CAPS,ITT,LOCF,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests",End of Treatment,0,,60.1,24.1,,,,,-15.1,,,,,,,,,,,,,,,,,,,,,>30% PTSD scores,,Additional definitions of Clinically Meaningful Response reported in the study,Veteran,0,1,0,0.0244,,0.9756,Mixed,"combat-related, other (non-specified)",Low,"Davis LL, Davidson JR, Ward LC, et al. Divalproex in the treatment of posttraumatic stress disorder: a randomized, double-blind, placebo-controlled trial in a veteran population. J Clin Psychopharmacol. 2008 Feb;28(1):84-8. doi: 10.1097/JCP.0b013e318160f83b. PMID: 18204347",30463,2019
davis2008b_CAPS_A_Baseline_Comp,Pharmacotherapy,PTSD,85,A,PTSD,,34,,Divalproex,Divalproex,No,Not Applicable,Yes,Mood Stabilizer,No,Not Applicable,No,No,No,No,No,Individual,In Person,44,Structured Clinical Interview,CAPS,CAPS,Completer,,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests",Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30% PTSD scores,,Additional definitions of Clinically Meaningful Response reported in the study,Veteran,0,1,0,0.0244,,0.9756,Mixed,"combat-related, other (non-specified)",Low,"Davis LL, Davidson JR, Ward LC, et al. Divalproex in the treatment of posttraumatic stress disorder: a randomized, double-blind, placebo-controlled trial in a veteran population. J Clin Psychopharmacol. 2008 Feb;28(1):84-8. doi: 10.1097/JCP.0b013e318160f83b. PMID: 18204347",30463,2019
davis2008b_CAPS_A_Baseline_ITT,Pharmacotherapy,PTSD,85,A,PTSD,,41,,Divalproex,Divalproex,No,Not Applicable,Yes,Mood Stabilizer,No,Not Applicable,No,No,No,No,No,Individual,In Person,44,Structured Clinical Interview,CAPS,CAPS,ITT,LOCF,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests",Baseline,,,75.2,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,>30% PTSD scores,,Additional definitions of Clinically Meaningful Response reported in the study,Veteran,0,1,0,0.0244,,0.9756,Mixed,"combat-related, other (non-specified)",Low,"Davis LL, Davidson JR, Ward LC, et al. Divalproex in the treatment of posttraumatic stress disorder: a randomized, double-blind, placebo-controlled trial in a veteran population. J Clin Psychopharmacol. 2008 Feb;28(1):84-8. doi: 10.1097/JCP.0b013e318160f83b. PMID: 18204347",30463,2019
davis2008b_CAPS_B_0_Comp,Pharmacotherapy,PTSD,85,B,Control,,34,,Placebo,Placebo,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,Individual,In Person,44,Structured Clinical Interview,CAPS,CAPS,Completer,,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests",End of Treatment,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30% PTSD scores,,Additional definitions of Clinically Meaningful Response reported in the study,Veteran,0,1,0,0.0244,,0.9756,Mixed,"combat-related, other (non-specified)",Low,"Davis LL, Davidson JR, Ward LC, et al. Divalproex in the treatment of posttraumatic stress disorder: a randomized, double-blind, placebo-controlled trial in a veteran population. J Clin Psychopharmacol. 2008 Feb;28(1):84-8. doi: 10.1097/JCP.0b013e318160f83b. PMID: 18204347",30463,2019
davis2008b_CAPS_B_0_ITT,Pharmacotherapy,PTSD,85,B,Control,,41,,Placebo,Placebo,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,Individual,In Person,44,Structured Clinical Interview,CAPS,CAPS,ITT,LOCF,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests",End of Treatment,0,,60.8,26.6,,,,,-16.5,,,,,,,,,,,,,,,,,,,,,>30% PTSD scores,,Additional definitions of Clinically Meaningful Response reported in the study,Veteran,0,1,0,0.0244,,0.9756,Mixed,"combat-related, other (non-specified)",Low,"Davis LL, Davidson JR, Ward LC, et al. Divalproex in the treatment of posttraumatic stress disorder: a randomized, double-blind, placebo-controlled trial in a veteran population. J Clin Psychopharmacol. 2008 Feb;28(1):84-8. doi: 10.1097/JCP.0b013e318160f83b. PMID: 18204347",30463,2019
davis2008b_CAPS_B_Baseline_Comp,Pharmacotherapy,PTSD,85,B,Control,,34,,Placebo,Placebo,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,Individual,In Person,44,Structured Clinical Interview,CAPS,CAPS,Completer,,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests",Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30% PTSD scores,,Additional definitions of Clinically Meaningful Response reported in the study,Veteran,0,1,0,0.0244,,0.9756,Mixed,"combat-related, other (non-specified)",Low,"Davis LL, Davidson JR, Ward LC, et al. Divalproex in the treatment of posttraumatic stress disorder: a randomized, double-blind, placebo-controlled trial in a veteran population. J Clin Psychopharmacol. 2008 Feb;28(1):84-8. doi: 10.1097/JCP.0b013e318160f83b. PMID: 18204347",30463,2019
davis2008b_CAPS_B_Baseline_ITT,Pharmacotherapy,PTSD,85,B,Control,,41,,Placebo,Placebo,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,Individual,In Person,44,Structured Clinical Interview,CAPS,CAPS,ITT,LOCF,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests",Baseline,,,77.3,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,>30% PTSD scores,,Additional definitions of Clinically Meaningful Response reported in the study,Veteran,0,1,0,0.0244,,0.9756,Mixed,"combat-related, other (non-specified)",Low,"Davis LL, Davidson JR, Ward LC, et al. Divalproex in the treatment of posttraumatic stress disorder: a randomized, double-blind, placebo-controlled trial in a veteran population. J Clin Psychopharmacol. 2008 Feb;28(1):84-8. doi: 10.1097/JCP.0b013e318160f83b. PMID: 18204347",30463,2019
davis2008b_TOP-8_A_0_ITT,Pharmacotherapy,PTSD,85,A,PTSD,,,,Divalproex,Divalproex,No,Not Applicable,Yes,Mood Stabilizer,No,Not Applicable,No,No,No,No,No,Individual,In Person,44,Self report,TOP-8,TOP-8,ITT,,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests",End of Treatment,0,,15.4,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0244,,0.9756,Mixed,"combat-related, other (non-specified)",Low,"Davis LL, Davidson JR, Ward LC, et al. Divalproex in the treatment of posttraumatic stress disorder: a randomized, double-blind, placebo-controlled trial in a veteran population. J Clin Psychopharmacol. 2008 Feb;28(1):84-8. doi: 10.1097/JCP.0b013e318160f83b. PMID: 18204347",30463,2019
davis2008b_TOP-8_A_Baseline_ITT,Pharmacotherapy,PTSD,85,A,PTSD,,,,Divalproex,Divalproex,No,Not Applicable,Yes,Mood Stabilizer,No,Not Applicable,No,No,No,No,No,Individual,In Person,44,Self report,TOP-8,TOP-8,ITT,,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests",Baseline,,,19.4,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0244,,0.9756,Mixed,"combat-related, other (non-specified)",Low,"Davis LL, Davidson JR, Ward LC, et al. Divalproex in the treatment of posttraumatic stress disorder: a randomized, double-blind, placebo-controlled trial in a veteran population. J Clin Psychopharmacol. 2008 Feb;28(1):84-8. doi: 10.1097/JCP.0b013e318160f83b. PMID: 18204347",30463,2019
davis2008b_TOP-8_B_0_ITT,Pharmacotherapy,PTSD,85,B,Control,,,,Placebo,Placebo,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,Individual,In Person,44,Self report,TOP-8,TOP-8,ITT,,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests",End of Treatment,0,,15.8,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0244,,0.9756,Mixed,"combat-related, other (non-specified)",Low,"Davis LL, Davidson JR, Ward LC, et al. Divalproex in the treatment of posttraumatic stress disorder: a randomized, double-blind, placebo-controlled trial in a veteran population. J Clin Psychopharmacol. 2008 Feb;28(1):84-8. doi: 10.1097/JCP.0b013e318160f83b. PMID: 18204347",30463,2019
davis2008b_TOP-8_B_Baseline_ITT,Pharmacotherapy,PTSD,85,B,Control,,,,Placebo,Placebo,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,Individual,In Person,44,Self report,TOP-8,TOP-8,ITT,,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests",Baseline,,,19.7,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0244,,0.9756,Mixed,"combat-related, other (non-specified)",Low,"Davis LL, Davidson JR, Ward LC, et al. Divalproex in the treatment of posttraumatic stress disorder: a randomized, double-blind, placebo-controlled trial in a veteran population. J Clin Psychopharmacol. 2008 Feb;28(1):84-8. doi: 10.1097/JCP.0b013e318160f83b. PMID: 18204347",30463,2019
davis2018b_CAPS_A_0_mI,Pharmacotherapy,PTSD,214,A,PTSD,,65,,MBSR,Mindfulness-based stress reduction (MBSR),No,Not Applicable,No,Not Applicable,Yes,Meditation,No,No,No,No,No,Group,In person,107,Structured Clinical Interview,CAPS,CAPS-IV,Modified ITT (patients attending ≥1 therapy sessions),,"Mixed-effects linear regression analysis used. Each model included up to four repeated assessments of CAPS-IV as the dependent variable (baseline and weeks 3, 6, and 9). Likelihood ratio tests examined treatment by time interaction.",End of Treatment,0,,59.1,27.1,,,,,-25.2,,,,,,,,,,,,,,,,,,"CAPS-IV ≤45 (""remission"")",0.307,,≥30% reduction in CAPS-IV score,0.452,,Veteran,0,1,0,0.162,,0.838,Mixed,"Combat-related; Rape/sexual assault; Other (noncombat military, civilian)",Low,"Davis LL, Whetsell C, Hamner MB, et al. A multisite randomized controlled trial of mindfulness-based stress reduction in the treatment of posttraumatic stress disorder. Psychiatric Research and Clinical Practice. 2018b Nov 5;1(2):39-48. doi: 10.1176/appi.prcp.20180002..",51046,2020
davis2018b_CAPS_A_8_mI,Pharmacotherapy,PTSD,214,A,PTSD,,61,,MBSR,Mindfulness-based stress reduction (MBSR),No,Not Applicable,No,Not Applicable,Yes,Meditation,No,No,No,No,No,Group,In person,107,Structured Clinical Interview,CAPS,CAPS-IV,Modified ITT (patients attending ≥1 therapy sessions),,"Mixed-effects linear regression analysis used. Each model included up to four repeated assessments of CAPS-IV as the dependent variable (baseline and weeks 3, 6, and 9). Likelihood ratio tests examined treatment by time interaction.",Assessment at <3 Months,8,,64.8,30.8,,,,,-19.5,,,,,,,,,,,,,,,,,,"CAPS-IV ≤45 (""remission"")",,,≥30% reduction in CAPS-IV score,,,Veteran,0,1,0,0.162,,0.838,Mixed,"Combat-related; Rape/sexual assault; Other (noncombat military, civilian)",Low,"Davis LL, Whetsell C, Hamner MB, et al. A multisite randomized controlled trial of mindfulness-based stress reduction in the treatment of posttraumatic stress disorder. Psychiatric Research and Clinical Practice. 2018b Nov 5;1(2):39-48. doi: 10.1176/appi.prcp.20180002..",51046,2020
davis2018b_CAPS_A_Baseline_mI,Pharmacotherapy,PTSD,214,A,PTSD,,96,,MBSR,Mindfulness-based stress reduction (MBSR),No,Not Applicable,No,Not Applicable,Yes,Meditation,No,No,No,No,No,Group,In person,107,Structured Clinical Interview,CAPS,CAPS-IV,Modified ITT (patients attending ≥1 therapy sessions),,"Mixed-effects linear regression analysis used. Each model included up to four repeated assessments of CAPS-IV as the dependent variable (baseline and weeks 3, 6, and 9). Likelihood ratio tests examined treatment by time interaction.",Baseline,,,84.3,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.162,,0.838,Mixed,"Combat-related; Rape/sexual assault; Other (noncombat military, civilian)",Low,"Davis LL, Whetsell C, Hamner MB, et al. A multisite randomized controlled trial of mindfulness-based stress reduction in the treatment of posttraumatic stress disorder. Psychiatric Research and Clinical Practice. 2018b Nov 5;1(2):39-48. doi: 10.1176/appi.prcp.20180002..",51046,2020
davis2018b_CAPS_B_0_mI,Pharmacotherapy,PTSD,214,B,Control,,77,,Present-centered group therapy,Present Centered Therapy (PCT),Yes,Non-TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Group,In person,107,Structured Clinical Interview,CAPS,CAPS-IV,Modified ITT (patients attending ≥1 therapy sessions),,"Mixed-effects linear regression analysis used. Each model included up to four repeated assessments of CAPS-IV as the dependent variable (baseline and weeks 3, 6, and 9). Likelihood ratio tests examined treatment by time interaction.",End of Treatment,0,,64.5,28.2,,,,,-16.2,,,,,,,,,,,,,,,,,,"CAPS-IV ≤45 (""remission"")",0.273,,≥30% reduction in CAPS-IV score,0.377,,Veteran,0,1,0,0.162,,0.838,Mixed,"Combat-related; Rape/sexual assault; Other (noncombat military, civilian)",Low,"Davis LL, Whetsell C, Hamner MB, et al. A multisite randomized controlled trial of mindfulness-based stress reduction in the treatment of posttraumatic stress disorder. Psychiatric Research and Clinical Practice. 2018b Nov 5;1(2):39-48. doi: 10.1176/appi.prcp.20180002..",51046,2020
davis2018b_CAPS_B_8_mI,Pharmacotherapy,PTSD,214,B,Control,,69,,Present-centered group therapy,Present Centered Therapy (PCT),Yes,Non-TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Group,In person,107,Structured Clinical Interview,CAPS,CAPS-IV,Modified ITT (patients attending ≥1 therapy sessions),,"Mixed-effects linear regression analysis used. Each model included up to four repeated assessments of CAPS-IV as the dependent variable (baseline and weeks 3, 6, and 9). Likelihood ratio tests examined treatment by time interaction.",Assessment at <3 Months,8,,62.9,28.3,,,,,-17.8,,,,,,,,,,,,,,,,,,"CAPS-IV ≤45 (""remission"")",,,≥30% reduction in CAPS-IV score,,,Veteran,0,1,0,0.162,,0.838,Mixed,"Combat-related; Rape/sexual assault; Other (noncombat military, civilian)",Low,"Davis LL, Whetsell C, Hamner MB, et al. A multisite randomized controlled trial of mindfulness-based stress reduction in the treatment of posttraumatic stress disorder. Psychiatric Research and Clinical Practice. 2018b Nov 5;1(2):39-48. doi: 10.1176/appi.prcp.20180002..",51046,2020
davis2018b_CAPS_B_Baseline_mI,Pharmacotherapy,PTSD,214,B,Control,,95,,Present-centered group therapy,Present Centered Therapy (PCT),Yes,Non-TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Group,In person,107,Structured Clinical Interview,CAPS,CAPS-IV,Modified ITT (patients attending ≥1 therapy sessions),,"Mixed-effects linear regression analysis used. Each model included up to four repeated assessments of CAPS-IV as the dependent variable (baseline and weeks 3, 6, and 9). Likelihood ratio tests examined treatment by time interaction.",Baseline,,,80.7,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.162,,0.838,Mixed,"Combat-related; Rape/sexual assault; Other (noncombat military, civilian)",Low,"Davis LL, Whetsell C, Hamner MB, et al. A multisite randomized controlled trial of mindfulness-based stress reduction in the treatment of posttraumatic stress disorder. Psychiatric Research and Clinical Practice. 2018b Nov 5;1(2):39-48. doi: 10.1176/appi.prcp.20180002..",51046,2020
davis2018b_PCL_A_0_mI,Pharmacotherapy,PTSD,214,A,PTSD,,,,MBSR,Mindfulness-based stress reduction (MBSR),No,Not Applicable,No,Not Applicable,Yes,Meditation,No,No,No,No,No,Group,In person,107,Self report,PCL,PCL,Modified ITT (patients attending ≥1 therapy sessions),,"Mixed-effects linear regression analysis used. Each model included up to four repeated assessments of CAPS-IV as the dependent variable (baseline and weeks 3, 6, and 9). Likelihood ratio tests examined treatment by time interaction.",End of Treatment,0,,53.8,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.162,,0.838,Mixed,"Combat-related; Rape/sexual assault; Other (noncombat military, civilian)",Low,"Davis LL, Whetsell C, Hamner MB, et al. A multisite randomized controlled trial of mindfulness-based stress reduction in the treatment of posttraumatic stress disorder. Psychiatric Research and Clinical Practice. 2018b Nov 5;1(2):39-48. doi: 10.1176/appi.prcp.20180002..",51046,2020
davis2018b_PCL_A_8_mI,Pharmacotherapy,PTSD,214,A,PTSD,,,,MBSR,Mindfulness-based stress reduction (MBSR),No,Not Applicable,No,Not Applicable,Yes,Meditation,No,No,No,No,No,Group,In person,107,Self report,PCL,PCL,Modified ITT (patients attending ≥1 therapy sessions),,"Mixed-effects linear regression analysis used. Each model included up to four repeated assessments of CAPS-IV as the dependent variable (baseline and weeks 3, 6, and 9). Likelihood ratio tests examined treatment by time interaction.",Assessment at <3 Months,8,,56.2,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.162,,0.838,Mixed,"Combat-related; Rape/sexual assault; Other (noncombat military, civilian)",Low,"Davis LL, Whetsell C, Hamner MB, et al. A multisite randomized controlled trial of mindfulness-based stress reduction in the treatment of posttraumatic stress disorder. Psychiatric Research and Clinical Practice. 2018b Nov 5;1(2):39-48. doi: 10.1176/appi.prcp.20180002..",51046,2020
davis2018b_PCL_A_Baseline_mI,Pharmacotherapy,PTSD,214,A,PTSD,,,,MBSR,Mindfulness-based stress reduction (MBSR),No,Not Applicable,No,Not Applicable,Yes,Meditation,No,No,No,No,No,Group,In person,107,Self report,PCL,PCL,Modified ITT (patients attending ≥1 therapy sessions),,"Mixed-effects linear regression analysis used. Each model included up to four repeated assessments of CAPS-IV as the dependent variable (baseline and weeks 3, 6, and 9). Likelihood ratio tests examined treatment by time interaction.",Baseline,,,63.1,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.162,,0.838,Mixed,"Combat-related; Rape/sexual assault; Other (noncombat military, civilian)",Low,"Davis LL, Whetsell C, Hamner MB, et al. A multisite randomized controlled trial of mindfulness-based stress reduction in the treatment of posttraumatic stress disorder. Psychiatric Research and Clinical Practice. 2018b Nov 5;1(2):39-48. doi: 10.1176/appi.prcp.20180002..",51046,2020
davis2018b_PCL_B_0_mI,Pharmacotherapy,PTSD,214,B,Control,,,,Present-centered group therapy,Present Centered Therapy (PCT),Yes,Non-TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Group,In person,107,Self report,PCL,PCL,Modified ITT (patients attending ≥1 therapy sessions),,"Mixed-effects linear regression analysis used. Each model included up to four repeated assessments of CAPS-IV as the dependent variable (baseline and weeks 3, 6, and 9). Likelihood ratio tests examined treatment by time interaction.",End of Treatment,0,,52.6,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.162,,0.838,Mixed,"Combat-related; Rape/sexual assault; Other (noncombat military, civilian)",Low,"Davis LL, Whetsell C, Hamner MB, et al. A multisite randomized controlled trial of mindfulness-based stress reduction in the treatment of posttraumatic stress disorder. Psychiatric Research and Clinical Practice. 2018b Nov 5;1(2):39-48. doi: 10.1176/appi.prcp.20180002..",51046,2020
davis2018b_PCL_B_8_mI,Pharmacotherapy,PTSD,214,B,Control,,,,Present-centered group therapy,Present Centered Therapy (PCT),Yes,Non-TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Group,In person,107,Self report,PCL,PCL,Modified ITT (patients attending ≥1 therapy sessions),,"Mixed-effects linear regression analysis used. Each model included up to four repeated assessments of CAPS-IV as the dependent variable (baseline and weeks 3, 6, and 9). Likelihood ratio tests examined treatment by time interaction.",Assessment at <3 Months,8,,53.8,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.162,,0.838,Mixed,"Combat-related; Rape/sexual assault; Other (noncombat military, civilian)",Low,"Davis LL, Whetsell C, Hamner MB, et al. A multisite randomized controlled trial of mindfulness-based stress reduction in the treatment of posttraumatic stress disorder. Psychiatric Research and Clinical Practice. 2018b Nov 5;1(2):39-48. doi: 10.1176/appi.prcp.20180002..",51046,2020
davis2018b_PCL_B_Baseline_mI,Pharmacotherapy,PTSD,214,B,Control,,,,Present-centered group therapy,Present Centered Therapy (PCT),Yes,Non-TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Group,In person,107,Self report,PCL,PCL,Modified ITT (patients attending ≥1 therapy sessions),,"Mixed-effects linear regression analysis used. Each model included up to four repeated assessments of CAPS-IV as the dependent variable (baseline and weeks 3, 6, and 9). Likelihood ratio tests examined treatment by time interaction.",Baseline,,,58.7,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.162,,0.838,Mixed,"Combat-related; Rape/sexual assault; Other (noncombat military, civilian)",Low,"Davis LL, Whetsell C, Hamner MB, et al. A multisite randomized controlled trial of mindfulness-based stress reduction in the treatment of posttraumatic stress disorder. Psychiatric Research and Clinical Practice. 2018b Nov 5;1(2):39-48. doi: 10.1176/appi.prcp.20180002..",51046,2020
